name,operation,source,class,alpha,mask,fallback,oof_balanced_accuracy,delta_vs_reference,delta_vs_start,changed_rows_vs_reference,changed_rows_vs_start,test_changed_rows_vs_reference,test_changed_rows_vs_start,worst_subset_delta_vs_reference,worst_class_recall_delta_vs_reference,worst_class_recall_delta_vs_start,quick_robust_score,meta_fold_mean_delta_vs_reference,meta_fold_min_delta_vs_reference,meta_fold_positive_rate_vs_reference,meta_fold_mean_delta_vs_start,meta_fold_min_delta_vs_start,meta_fold_positive_rate_vs_start,final_robust_score
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,classblend,our-ovr-catboost-realmlp-features,GALAXY,0.005,,,0.9706589608099554,8.63677129393503e-05,2.6491469746758867e-06,192,3,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.821687686631884e-05,8.636771913689648e-05,1.0266650294576962e-05,1.0,2.6491469746740363e-06,0.0,0.5,4.776471707279074e-05
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,classblend,our-classwise-logistic-blender,GALAXY,0.005,,,0.9706580777609638,8.548466394775467e-05,1.7660979830802503e-06,191,2,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.7333827874723203e-05,8.548467014533786e-05,1.0266650294576962e-05,1.0,1.7660979831154075e-06,0.0,0.4,4.68816680811951e-05
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,classblend,our-classwise-logistic-blender,GALAXY,0.01,,,0.9706580777609638,8.548466394775467e-05,1.7660979830802503e-06,191,2,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.7333827874723203e-05,8.548467014533786e-05,1.0266650294576962e-05,1.0,1.7660979831154075e-06,0.0,0.4,4.68816680811951e-05
classblend_our-classwise-logistic-blender_STAR_a0p0050,classblend,our-classwise-logistic-blender,STAR,0.005,,,0.9706580777609638,8.548466394775467e-05,1.7660979830802503e-06,191,2,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.7333827874723203e-05,8.548467014533786e-05,1.0266650294576962e-05,1.0,1.7660979831154075e-06,0.0,0.4,4.68816680811951e-05
classblend_our-classwise-logistic-blender_STAR_a0p0100,classblend,our-classwise-logistic-blender,STAR,0.01,,,0.9706580777609638,8.548466394775467e-05,1.7660979830802503e-06,191,2,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.7333827874723203e-05,8.548467014533786e-05,1.0266650294576962e-05,1.0,1.7660979831154075e-06,0.0,0.4,4.68816680811951e-05
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,classblend,our-ovr-catboost-realmlp-features,STAR,0.005,,,0.9706580777609638,8.548466394775467e-05,1.7660979830802503e-06,191,2,85,1,-0.0001404548739663003,-9.390232450934288e-05,0.0,5.7333827874723203e-05,8.548467014533786e-05,1.0266650294576962e-05,1.0,1.7660979831154075e-06,0.0,0.4,4.68816680811951e-05
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,classblend,90_subset_guard_68_plus_84,GALAXY,0.005,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,classblend,90_subset_guard_68_plus_84,GALAXY,0.01,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,classblend,90_subset_guard_68_plus_84,STAR,0.005,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,classblend,90_subset_guard_68_plus_84,STAR,0.01,,,0.9706571947119723,8.460161495627005e-05,8.830489915956363e-07,190,1,84,0,-0.0001416121889492583,-9.390232450934288e-05,0.0,5.63550473849428e-05,8.460162115377922e-05,1.0266650294576962e-05,1.0,8.830489915567785e-07,0.0,0.2,4.578715609311889e-05
